reid,category,camera_suffix,timestamp_local_naive,timezone_status,image_name,image_sha256,mask_sha256,image_width_px,image_height_px,mask_area_fraction,bbox_width_fraction,bbox_height_fraction,centroid_x_fraction,centroid_y_fraction,spatial_unit,cross_visit_registration,decision_eligible
5982,Transverse Crack,n00088,2022-11-30T13:31:18.050,unknown_not_ingested,2022-11-30_13-31-18-050-n00088.jpg,2a14adcff2fa9c1ab1174ec40da0b577a481f9827e86da0f29c029b70b797fcc,31f2b5e2c5fe00a3949305b6f2dd5f3f937a85312b451071eaadf804c6b0458f,1920,1080,0.00032648533950617285,0.084375,0.010185185185185186,0.4943777695716396,0.5320695880518628,pixel_fraction,absent,False
5982,Transverse Crack,n00088,2023-01-17T10:06:06.428,unknown_not_ingested,2023-01-17_10-06-06-428-n00088.jpg,e134bb1bb43b61dfdac019fe1ab700a031f2820c05016074aea03fde54fb2f00,bef8c6a760ac5091bb5be32d8fb52082523f5d8b63859dc09d76bc2d2b6043ee,1920,1080,0.0002724729938271605,0.08385416666666666,0.011111111111111112,0.4070685840707965,0.5274827925270403,pixel_fraction,absent,False
5982,Transverse Crack,n00088,2023-03-09T12:20:36.273,unknown_not_ingested,2023-03-09_12-20-36-273-n00088.jpg,629ca1e54f6c59c8df485a2d88e24aebee692b7d1ae4f362f532ffb0f304fc2f,b1dc94c5d77edb9092b041c36a1088497e76e5ade92a5ad5330bd9fa35bdf318,1920,1080,0.0004060570987654321,0.09583333333333334,0.011111111111111112,0.4297165726444972,0.6019794140934283,pixel_fraction,absent,False
5982,Transverse Crack,n00088,2023-04-21T12:49:21.367,unknown_not_ingested,2023-04-21_12-49-21-367-n00088.jpg,50147c597fb440700fdeeb76d02e6df48c7afac924e43aa196401178e23683e4,34c1a6b1befe8f8efb22ee54d7a99e1366192e50fa2565e60ee412f4fe6edee8,1920,1080,0.0013117283950617284,0.20885416666666667,0.022222222222222223,0.3805773207720588,0.7750857843137255,pixel_fraction,absent,False
5982,Transverse Crack,n00088,2023-05-21T11:21:25.658,unknown_not_ingested,2023-05-21_11-21-25-658-n00088.jpg,e107ea0b470eb441ab76bdb1ff182d85c951cbb79db0b5dcba5e4fbab0ceb782,29a3f43cc23965557ec1e859c1f3be7f9d24cb29b68d524271173c61df21ad8b,1920,1080,0.0015774498456790124,0.22864583333333333,0.020370370370370372,0.36713734332008563,0.8043140052311559,pixel_fraction,absent,False
5982,Transverse Crack,n00088,2023-07-08T10:33:20.189,unknown_not_ingested,2023-07-08_10-33-20-189-n00088.jpg,fcafa626a4bc93442c988f9da98fefdaf1c00a0fa269cb402586359745db585b,8e4c6d0da14b5978f44fef4e80010d85f9d0bf1272a418885046c788b01eaa03,1920,1080,0.0013151041666666667,0.23177083333333334,0.021296296296296296,0.31176239151692947,0.8299858072226975,pixel_fraction,absent,False
5982,Transverse Crack,n00088,2023-08-13T10:56:48.937,unknown_not_ingested,2023-08-13_10-56-48-937-n00088.jpg,f5ee614cd33f31bf643b69acfb686db5bcb49794025a36539a814d46056578c7,70bec97344a971d4afe0355fe754870cb6601416d002555c7d1ecdd6cb58a697,1920,1080,0.0007146990740740741,0.13958333333333334,0.012037037037037037,0.36826395917678817,0.703438171639926,pixel_fraction,absent,False
5982,Transverse Crack,n00088,2023-11-14T13:01:58.987,unknown_not_ingested,2023-11-14_13-01-58-987-n00088.jpg,d41f18601e0a535ad4260e3cea107b5621a6946a29de64a602080bc168bad7ec,cd7a90a9dcd2a5d611c1be0c3f42f0c9ace0012d1f9a690f55fc12550907aa97,1920,1080,0.002433931327160494,0.2526041666666667,0.020370370370370372,0.4422531330493362,0.6960601824332754,pixel_fraction,absent,False
2027,Transverse Crack,n00088,2022-11-30T12:48:57.948,unknown_not_ingested,2022-11-30_12-48-57-948-n00088.jpg,222dc46f169d0f7bb216597f1729c8ff7f188eada4dd40534429ff43d7964eaa,4beb6ad21dd3c4243c39e3ad0d631f9627e8f0f0c52708bf017c6b17fda7e605,1920,1080,0.0006558641975308642,0.12447916666666667,0.01574074074074074,0.7839820772058823,0.5846602668845315,pixel_fraction,absent,False
2027,Transverse Crack,n00088,2023-02-02T13:43:46.345,unknown_not_ingested,2023-02-02_13-43-46-345-n00088.jpg,70b5430f5ea608d4bca6bbfba4d0637a7bd1fe38fdd06444892014093b1edd92,1389ea4b8f803e56b5ade4924d27f9875c8b60903524125b7f1024d1961c1de1,1920,1080,0.0006370563271604938,0.13333333333333333,0.012037037037037037,0.6803281920262427,0.6050046261249895,pixel_fraction,absent,False
